2023 Rank,Airport,2023 Enplaned Passengers in millions,2022 Rank,2022 Enplaned Passengers,Pct. Change 2022-2023
1,"Atlanta, GA: Hartsfield-Jackson Atlanta International",50.925,1,45.373,12.2
2,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",39.226,2,35.330,11.0
3,"Denver, CO: Denver International",37.840,3,33.750,12.1
4,"Los Angeles, CA: Los Angeles International",36.611,5,32.285,13.4
5,"Chicago, IL: Chicago O'Hare International",35.828,4,33.132,8.1
6,"New York, NY: John F. Kennedy International",30.512,6,27.006,13.0
7,"Orlando, FL: Orlando International",28.019,8,24.442,14.6
8,"Las Vegas, NV: Harry Reid International",27.642,7,25.265,9.4
9,"Charlotte, NC: Charlotte Douglas International",25.881,10,23.091,12.1
10,"Seattle, WA: Seattle/Tacoma International",24.551,11,22.114,11.0
11,"Miami, FL: Miami International",24.544,9,23.676,3.7
12,"Newark, NJ: Newark Liberty International",24.476,13,21.656,13.0
13,"San Francisco, CA: San Francisco International",24.174,14,20.402,18.5
14,"Phoenix, AZ: Phoenix Sky Harbor International",23.814,12,21.791,9.3
15,"Houston, TX: George Bush Intercontinental/Houston",22.210,15,19.800,12.2
16,"Boston, MA: Logan International",19.950,16,17.433,14.4
17,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",17.037,17,15.371,10.8
18,"Minneapolis, MN: Minneapolis-St Paul International",16.985,18,15.203,11.7
19,"New York, NY: LaGuardia",16.172,19,14.369,12.5
20,"Detroit, MI: Detroit Metro Wayne County",15.350,20,13.730,11.8
21,"Philadelphia, PA: Philadelphia International",13.629,21,12.402,9.9
22,"Salt Lake City, UT: Salt Lake City International",12.892,22,12.370,4.2
23,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",12.765,25,11.064,15.4
24,"Washington, DC: Ronald Reagan Washington National",12.347,23,11.540,7.0
25,"San Diego, CA: San Diego International",12.156,24,11.122,9.3
26,"Washington, DC: Washington Dulles International",12.049,28,10.251,17.5
27,"Tampa, FL: Tampa International",11.656,26,10.518,10.8
28,"Nashville, TN: Nashville International",11.195,29,9.807,14.2
29,"Austin, TX: Austin - Bergstrom International",10.807,27,10.358,4.3
30,"Chicago, IL: Chicago Midway International",10.646,30,9.636,10.5
31,"Honolulu, HI: Daniel K Inouye International",10.101,31,8.800,14.8
32,"Dallas, TX: Dallas Love Field",8.454,32,7.757,9.0
33,"Portland, OR: Portland International",8.116,33,7.233,12.2
34,"St. Louis, MO: St Louis Lambert International",7.297,34,6.693,9.0
35,"Raleigh/Durham, NC: Raleigh-Durham International",7.101,38,5.831,21.8
36,"Houston, TX: William P Hobby",6.763,35,6.429,5.2
37,"Sacramento, CA: Sacramento International",6.364,36,6.035,5.5
38,"New Orleans, LA: Louis Armstrong New Orleans International",6.295,37,5.915,6.4
39,"San Jose, CA: Norman Y. Mineta San Jose International",5.944,39,5.577,6.6
40,"San Juan, PR: Luis Munoz Marin International",5.923,43,5.012,18.2
41,"Santa Ana, CA: John Wayne Airport-Orange County",5.659,40,5.494,3.0
42,"Kansas City, MO: Kansas City International",5.639,44,4.786,17.8
43,"Oakland, CA: Metro Oakland International",5.464,41,5.424,0.7
44,"San Antonio, TX: San Antonio International",5.305,45,4.727,12.2
45,"Fort Myers, FL: Southwest Florida International",4.955,42,5.127,-3.4
46,"Cleveland, OH: Cleveland-Hopkins International",4.791,46,4.224,13.4
47,"Indianapolis, IN: Indianapolis International",4.764,47,4.191,13.7
48,"Pittsburgh, PA: Pittsburgh International",4.461,49,3.899,14.4
49,"Cincinnati, OH: Cincinnati/Northern Kentucky International",4.257,50,3.657,16.4
50,"Columbus, OH: John Glenn Columbus International",4.075,51,3.606,13.0
51,"West Palm Beach/Palm Beach, FL: Palm Beach International",3.805,52,3.247,17.2
52,"Kahului, HI: Kahului Airport",3.743,48,4.120,-9.2
53,"Jacksonville, FL: Jacksonville International",3.609,53,3.166,14.0
54,"Ontario, CA: Ontario International",3.175,56,2.835,12.0
55,"Hartford, CT: Bradley International",3.116,55,2.839,9.7
56,"Charleston, SC: Charleston AFB/International",3.029,58,2.606,16.2
57,"Burbank, CA: Bob Hope",3.010,54,2.949,2.1
58,"Milwaukee, WI: General Mitchell International",2.920,57,2.642,10.5
59,"Albuquerque, NM: Albuquerque International Sunport",2.602,60,2.315,12.4
60,"Anchorage, AK: Ted Stevens Anchorage International",2.581,59,2.483,3.9
61,"Omaha, NE: Eppley Airfield",2.458,62,2.198,11.8
62,"Richmond, VA: Richmond International",2.390,66,2.038,17.3
63,"Memphis, TN: Memphis International",2.385,63,2.151,10.9
64,"Boise, ID: Boise Air Terminal",2.366,61,2.227,6.2
65,"Norfolk, VA: Norfolk International",2.305,65,2.066,11.6
66,"Buffalo, NY: Buffalo Niagara International",2.276,68,1.998,13.9
67,"Louisville, KY: Louisville Muhammad Ali International",2.259,72,1.888,19.6
68,"Reno, NV: Reno/Tahoe International",2.215,64,2.097,5.6
69,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",2.142,70,1.910,12.1
70,"Oklahoma City, OK: Will Rogers World",2.126,69,1.920,10.7
71,"Kona, HI: Ellison Onizuka Kona International at Keahole",2.090,67,1.999,4.6
72,"Spokane, WA: Spokane International",2.000,71,1.903,5.1
73,"El Paso, TX: El Paso International",1.975,73,1.864,5.9
74,"Tucson, AZ: Tucson International",1.907,78,1.692,12.7
75,"Savannah, GA: Savannah/Hilton Head International",1.904,75,1.725,10.4
76,"Grand Rapids, MI: Gerald R. Ford International",1.895,76,1.716,10.4
77,"Long Beach, CA: Long Beach Airport",1.832,79,1.594,14.9
78,"Lihue, HI: Lihue Airport",1.814,74,1.764,2.8
79,"Providence, RI: Rhode Island Tf Green International",1.726,80,1.567,10.1
80,"Myrtle Beach, SC: Myrtle Beach International",1.654,77,1.703,-2.9
81,"Palm Springs, CA: Palm Springs International",1.623,81,1.499,8.3
82,"Tulsa, OK: Tulsa International",1.568,82,1.444,8.6
83,"Des Moines, IA: Des Moines International",1.512,83,1.361,11.0
84,"Birmingham, AL: Birmingham-Shuttlesworth International",1.491,85,1.324,12.6
85,"Sanford, FL: Orlando Sanford International",1.435,84,1.360,5.5
86,"Syracuse, NY: Syracuse Hancock International",1.408,87,1.243,13.2
87,"Knoxville, TN: McGhee Tyson",1.375,89,1.210,13.6
88,"Albany, NY: Albany International",1.373,86,1.278,7.4
89,"Pensacola, FL: Pensacola International",1.365,88,1.211,12.8
90,"Rochester, NY: Frederick Douglass Grtr Rochester International",1.324,91,1.157,14.5
91,"Greer, SC: Greenville-Spartanburg International",1.252,95,1.067,17.3
92,"Bozeman, MT: Bozeman Yellowstone International",1.227,92,1.132,8.4
93,"St. Petersburg, FL: St Pete Clearwater International",1.227,90,1.203,2.0
94,"Fresno, CA: Fresno Yosemite International",1.198,93,1.074,11.5
95,"Colorado Springs, CO: City of Colorado Springs Municipal",1.182,94,1.071,10.3
96,"Asheville, NC: Asheville Regional",1.124,101,0.920,22.1
97,"White Plains, NY: Westchester County",1.123,103,0.892,25.9
98,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",1.116,97,0.985,13.3
99,"Portland, ME: Portland International Jetport",1.114,96,0.987,12.9
100,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",1.094,98,0.981,11.5
101,"Madison, WI: Dane County Regional-Truax Field",1.029,102,0.909,13.2
102,"Fayetteville, AR: Northwest Arkansas National",0.968,104,0.808,19.7
103,"Punta Gorda, FL: Punta Gorda Airport",0.949,100,0.921,3.1
104,"Phoenix, AZ: Phoenix - Mesa Gateway",0.937,99,0.943,-0.6
105,"Greensboro/High Point, NC: Piedmont Triad International",0.896,105,0.787,13.9
106,"Wichita, KS: Wichita Dwight D Eisenhower National",0.840,107,0.759,10.7
107,"Eugene, OR: Mahlon Sweet Field",0.837,106,0.777,7.7
108,"Panama City, FL: Northwest Florida Beaches International",0.816,108,0.746,9.4
109,"Guam, TT: Guam International",0.740,135,0.426,73.7
110,"Huntsville, AL: Huntsville International-Carl T Jones Field",0.723,121,0.587,23.2
111,"Charlotte Amalie, VI: Cyril E King",0.705,109,0.719,-2.0
112,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",0.686,117,0.607,13.1
