"ISO3","Name","Admin Level","Metric","Units","Year","Value"
"AFG","Afghanistan","admin0","Incidence Rate","Cases per Thousand",2022,0.518036565796733
"AFG","Afghanistan","admin0","Incidence Rate","Cases per Thousand",2023,0.9521386649522919
"AFG","Afghanistan","admin0","Incidence Rate","Cases per Thousand",2024,0.8061626624403121
"AFG","Afghanistan","admin0","Infection Prevalence","per 100 Children",2022,0.019977977708358702
"AFG","Afghanistan","admin0","Infection Prevalence","per 100 Children",2023,0.0369869403711894
"AFG","Afghanistan","admin0","Infection Prevalence","per 100 Children",2024,0.0314632416234692
"AFG","Afghanistan","admin0","Mortality Rate","Deaths per 100 Thousand",2022,0.30088131851669303
"AFG","Afghanistan","admin0","Mortality Rate","Deaths per 100 Thousand",2023,0.374844118632161
"AFG","Afghanistan","admin0","Mortality Rate","Deaths per 100 Thousand",2024,0.38779856752767794
"AGO","Angola","admin0","Incidence Rate","Cases per Thousand",2022,236.79710128238298
"AGO","Angola","admin0","Incidence Rate","Cases per Thousand",2023,224.175120138117
"AGO","Angola","admin0","Incidence Rate","Cases per Thousand",2024,223.203774850154
"AGO","Angola","admin0","Infection Prevalence","per 100 Children",2022,21.2384163783559
"AGO","Angola","admin0","Infection Prevalence","per 100 Children",2023,19.33207102186
"AGO","Angola","admin0","Infection Prevalence","per 100 Children",2024,19.3503359152252
"AGO","Angola","admin0","Mortality Rate","Deaths per 100 Thousand",2022,54.3726653932536
"AGO","Angola","admin0","Mortality Rate","Deaths per 100 Thousand",2023,40.575857200831095
"AGO","Angola","admin0","Mortality Rate","Deaths per 100 Thousand",2024,39.8039385082629
"ARG","Argentina","admin0","Incidence Rate","Cases per Thousand",2022,0
"ARG","Argentina","admin0","Incidence Rate","Cases per Thousand",2023,0
"ARG","Argentina","admin0","Incidence Rate","Cases per Thousand",2024,0
"ARG","Argentina","admin0","Infection Prevalence","per 100 Children",2022,0
"ARG","Argentina","admin0","Infection Prevalence","per 100 Children",2023,0
"ARG","Argentina","admin0","Infection Prevalence","per 100 Children",2024,0
"ARG","Argentina","admin0","Mortality Rate","Deaths per 100 Thousand",2022,0
"ARG","Argentina","admin0","Mortality Rate","Deaths per 100 Thousand",2023,0
"ARG","Argentina","admin0","Mortality Rate","Deaths per 100 Thousand",2024,0
"ARM","Armenia","admin0","Incidence Rate","Cases per Thousand",2022,0
"ARM","Armenia","admin0","Incidence Rate","Cases per Thousand",2023,0
"ARM","Armenia","admin0","Incidence Rate","Cases per Thousand",2024,0
"ARM","Armenia","admin0","Infection Prevalence","per 100 Children",2022,0
"ARM","Armenia","admin0","Infection Prevalence","per 100 Children",2023,0
"ARM","Armenia","admin0","Infection Prevalence","per 100 Children",2024,0
"ARM","Armenia","admin0","Mortality Rate","Deaths per 100 Thousand",2022,0
"ARM","Armenia","admin0","Mortality Rate","Deaths per 100 Thousand",2023,0
"ARM","Armenia","admin0","Mortality Rate","Deaths per 100 Thousand",2024,0
"AZE","Azerbaijan","admin0","Incidence Rate","Cases per Thousand",2022,0
"AZE","Azerbaijan","admin0","Incidence Rate","Cases per Thousand",2023,0
"AZE","Azerbaijan","admin0","Incidence Rate","Cases per Thousand",2024,0
"AZE","Azerbaijan","admin0","Infection Prevalence","per 100 Children",2022,0
"AZE","Azerbaijan","admin0","Infection Prevalence","per 100 Children",2023,0
"AZE","Azerbaijan","admin0","Infection Prevalence","per 100 Children",2024,0
"AZE","Azerbaijan","admin0","Mortality Rate","Deaths per 100 Thousand",2022,0
"AZE","Azerbaijan","admin0","Mortality Rate","Deaths per 100 Thousand",2023,0
"AZE","Azerbaijan","admin0","Mortality Rate","Deaths per 100 Thousand",2024,0
"BDI","Burundi","admin0","Incidence Rate","Cases per Thousand",2022,267.86804512754804
"BDI","Burundi","admin0","Incidence Rate","Cases per Thousand",2023,245.34057273511002
"BDI","Burundi","admin0","Incidence Rate","Cases per Thousand",2024,244.30556875657
"BDI","Burundi","admin0","Infection Prevalence","per 100 Children",2022,23.6216409946574
"BDI","Burundi","admin0","Infection Prevalence","per 100 Children",2023,21.4252670151413
"BDI","Burundi","admin0","Infection Prevalence","per 100 Children",2024,21.4532003723103
"BDI","Burundi","admin0","Mortality Rate","Deaths per 100 Thousand",2022,113.231996378803
"BDI","Burundi","admin0","Mortality Rate","Deaths per 100 Thousand",2023,92.9150582043919
"BDI","Burundi","admin0","Mortality Rate","Deaths per 100 Thousand",2024,92.90509326005801
"BEN","Benin","admin0","Incidence Rate","Cases per Thousand",2022,377.49113611579696
"BEN","Benin","admin0","Incidence Rate","Cases per Thousand",2023,363.118979494841
"BEN","Benin","admin0","Incidence Rate","Cases per Thousand",2024,364.515103588974
"BEN","Benin","admin0","Infection Prevalence","per 100 Children",2022,36.6169628773822
"BEN","Benin","admin0","Infection Prevalence","per 100 Children",2023,35.4472145996865
"BEN","Benin","admin0","Infection Prevalence","per 100 Children",2024,35.8775505744716
"BEN","Benin","admin0","Mortality Rate","Deaths per 100 Thousand",2022,94.66695687368369
"BEN","Benin","admin0","Mortality Rate","Deaths per 100 Thousand",2023,88.4139513840541
"BEN","Benin","admin0","Mortality Rate","Deaths per 100 Thousand",2024,87.3681382391337
"BFA","Burkina Faso","admin0","Incidence Rate","Cases per Thousand",2022,274.781722686445
"BFA","Burkina Faso","admin0","Incidence Rate","Cases per Thousand",2023,272.740793256024
"BFA","Burkina Faso","admin0","Incidence Rate","Cases per Thousand",2024,265.64228901117696
"BFA","Burkina Faso","admin0","Infection Prevalence","per 100 Children",2022,21.073473718197498
"BFA","Burkina Faso","admin0","Infection Prevalence","per 100 Children",2023,21.1189847002578
"BFA","Burkina Faso","admin0","Infection Prevalence","per 100 Children",2024,20.4166777620993
"BFA","Burkina Faso","admin0","Mortality Rate","Deaths per 100 Thousand",2022,89.3282627560909
"BFA","Burkina Faso","admin0","Mortality Rate","Deaths per 100 Thousand",2023,88.0063892399982
"BFA","Burkina Faso","admin0","Mortality Rate","Deaths per 100 Thousand",2024,87.752680204775
"BGD","Bangladesh","admin0","Incidence Rate","Cases per Thousand",2022,0.434385335736181
"BGD","Bangladesh","admin0","Incidence Rate","Cases per Thousand",2023,0.32411291216169197
"BGD","Bangladesh","admin0","Incidence Rate","Cases per Thousand",2024,0.338697195125394
"BGD","Bangladesh","admin0","Infection Prevalence","per 100 Children",2022,0.017637509934632298
"BGD","Bangladesh","admin0","Infection Prevalence","per 100 Children",2023,0.0129603603594716
"BGD","Bangladesh","admin0","Infection Prevalence","per 100 Children",2024,0.013681614008870501
"BGD","Bangladesh","admin0","Mortality Rate","Deaths per 100 Thousand",2022,0.628730761725119
"BGD","Bangladesh","admin0","Mortality Rate","Deaths per 100 Thousand",2023,0.5046313030603811
"BGD","Bangladesh","admin0","Mortality Rate","Deaths per 100 Thousand",2024,0.581588824978775
"BLZ","Belize","admin0","Incidence Rate","Cases per Thousand",2022,0
"BLZ","Belize","admin0","Incidence Rate","Cases per Thousand",2023,0
"BLZ","Belize","admin0","Incidence Rate","Cases per Thousand",2024,0
"BLZ","Belize","admin0","Infection Prevalence","per 100 Children",2022,0
"BLZ","Belize","admin0","Infection Prevalence","per 100 Children",2023,0
"BLZ","Belize","admin0","Infection Prevalence","per 100 Children",2024,0
"BLZ","Belize","admin0","Mortality Rate","Deaths per 100 Thousand",2022,0
"BLZ","Belize","admin0","Mortality Rate","Deaths per 100 Thousand",2023,0
"BLZ","Belize","admin0","Mortality Rate","Deaths per 100 Thousand",2024,0
"BOL","Bolivia","admin0","Incidence Rate","Cases per Thousand",2022,0.0982431099736586
"BOL","Bolivia","admin0","Incidence Rate","Cases per Thousand",2023,0.183631105541744
"BOL","Bolivia","admin0","Incidence Rate","Cases per Thousand",2024,0.186427717623243
"BOL","Bolivia","admin0","Infection Prevalence","per 100 Children",2022,0.0038178275956266402
"BOL","Bolivia","admin0","Infection Prevalence","per 100 Children",2023,0.00716196171785318
"BOL","Bolivia","admin0","Infection Prevalence","per 100 Children",2024,0.00727800775897243
"BOL","Bolivia","admin0","Mortality Rate","Deaths per 100 Thousand",2022,0.0296075475777938
"BOL","Bolivia","admin0","Mortality Rate","Deaths per 100 Thousand",2023,0.0388432752230148
"BOL","Bolivia","admin0","Mortality Rate","Deaths per 100 Thousand",2024,0.0360995566012287
"BRA","Brazil","admin0","Incidence Rate","Cases per Thousand",2022,0.19729331849585
"BRA","Brazil","admin0","Incidence Rate","Cases per Thousand",2023,0.25237256272252
"BRA","Brazil","admin0","Incidence Rate","Cases per Thousand",2024,0.281655420524019
"BRA","Brazil","admin0","Infection Prevalence","per 100 Children",2022,0.00857132405885116
"BRA","Brazil","admin0","Infection Prevalence","per 100 Children",2023,0.0108255906578413
"BRA","Brazil","admin0","Infection Prevalence","per 100 Children",2024,0.0121227842727199
"BRA","Brazil","admin0","Mortality Rate","Deaths per 100 Thousand",2022,0.031804950729075396
"BRA","Brazil","admin0","Mortality Rate","Deaths per 100 Thousand",2023,0.0388534396821236
"BRA","Brazil","admin0","Mortality Rate","Deaths per 100 Thousand",2024,0.0384287469413345
"BTN","Bhutan","admin0","Incidence Rate","Cases per Thousand",2022,0
"BTN","Bhutan","admin0","Incidence Rate","Cases per Thousand",2023,0
"BTN","Bhutan","admin0","Incidence Rate","Cases per Thousand",2024,0
"BTN","Bhutan","admin0","Infection Prevalence","per 100 Children",2022,0
"BTN","Bhutan","admin0","Infection Prevalence","per 100 Children",2023,0
"BTN","Bhutan","admin0","Infection Prevalence","per 100 Children",2024,0
"BTN","Bhutan","admin0","Mortality Rate","Deaths per 100 Thousand",2022,0
"BTN","Bhutan","admin0","Mortality Rate","Deaths per 100 Thousand",2023,0
"BTN","Bhutan","admin0","Mortality Rate","Deaths per 100 Thousand",2024,0
"BWA","Botswana","admin0","Incidence Rate","Cases per Thousand",2022,0.6164824984946611
"BWA","Botswana","admin0","Incidence Rate","Cases per Thousand",2023,0.8580202364604931
"BWA","Botswana","admin0","Incidence Rate","Cases per Thousand",2024,0.776688197817176
"BWA","Botswana","admin0","Infection Prevalence","per 100 Children",2022,0.0236028007434502
"BWA","Botswana","admin0","Infection Prevalence","per 100 Children",2023,0.032865721545411605
"BWA","Botswana","admin0","Infection Prevalence","per 100 Children",2024,0.029781201990690197
"BWA","Botswana","admin0","Mortality Rate","Deaths per 100 Thousand",2022,0.07324308601296449
