Country,venue_city,diaspora_pop,total_foreign_born,diaspora_conc
Belgium,Austin,253,365735,6.917576934118966e-4
France,Austin,2010,365735,0.005495782465446293
Germany,Austin,5229,365735,0.014297237070556551
Netherlands,Austin,732,365735,0.0020014491366699932
Portugal,Austin,226,365735,6.179337498462001e-4
Spain,Austin,1668,365735,0.004560679180280805
Japan,Austin,1643,365735,0.004492323676979233
South Korea,Austin,7787,365735,0.021291372168373277
India,Austin,41984,365735,0.11479349802452596
Iran,Austin,3277,365735,0.008960039372769901
Philippines,Austin,6593,365735,0.018026713330690253
Cameroon,Austin,395,365735,0.0010800169521648188
Morocco,Austin,393,365735,0.001074548511900693
South Africa,Austin,1208,365735,0.0033029379195319017
Ghana,Austin,942,365735,0.002575635364403188
Côte d'Ivoire,Austin,192,365735,5.249702653560638e-4
Nigeria,Austin,4776,365735,0.013058635350732088
Senegal,Austin,261,365735,7.136314544683993e-4
Australia,Austin,1004,365735,0.002745157012591084
Haiti,Austin,429,365735,0.0011729804366549551
Costa Rica,Austin,554,365735,0.0015147579531628091
Guatemala,Austin,5964,365735,0.016306888867622733
Honduras,Austin,13018,365735,0.03559407767919395
Mexico,Austin,121284,365735,0.33161715449710855
Panama,Austin,614,365735,0.001678811161086579
Argentina,Austin,672,365735,0.0018373959287462233
Bolivia,Austin,378,365735,0.0010335352099197506
Brazil,Austin,3685,365735,0.010075601186651538
Chile,Austin,718,365735,0.0019631700548211136
Colombia,Austin,3947,365735,0.010791966861251999
Ecuador,Austin,932,365735,0.0025482931630825597
Peru,Austin,2269,365735,0.0062039454796505664
Uruguay,Austin,508,365735,0.0013889838270879189
Venezuela,Austin,5062,365735,0.013840622308502058
Canada,Austin,7269,365735,0.019875046139964728
Belgium,Charlotte,260,308897,8.417045163921955e-4
France,Charlotte,810,308897,0.0026222333010679937
Germany,Charlotte,3779,308897,0.012233851413254256
Netherlands,Charlotte,575,308897,0.0018614619112519708
Portugal,Charlotte,398,308897,0.0012884553750926685
Spain,Charlotte,951,308897,0.0030786961349576073
Japan,Charlotte,1063,308897,0.003441276542018861
South Korea,Charlotte,3694,308897,0.01195867878289527
India,Charlotte,34964,308897,0.113189833504372
Iran,Charlotte,1343,308897,0.0043477275596719945
Philippines,Charlotte,5135,308897,0.01662366419874586
Cameroon,Charlotte,481,308897,0.0015571533553255616
Morocco,Charlotte,690,308897,0.002233754293502365
South Africa,Charlotte,2248,308897,0.007277506741729444
Cape Verde,Charlotte,101,308897,3.269698313677375e-4
Ghana,Charlotte,2020,308897,0.006539396627354749
Côte d'Ivoire,Charlotte,368,308897,0.0011913356232012612
Nigeria,Charlotte,2291,308897,0.007416711719440461
Senegal,Charlotte,442,308897,0.0014308976778667323
Australia,Charlotte,511,308897,0.0016542731072169688
Haiti,Charlotte,1420,308897,0.004597001589526606
Costa Rica,Charlotte,2129,308897,0.006892265059226862
Guatemala,Charlotte,8361,308897,0.027067274852135177
Honduras,Charlotte,23151,308897,0.07494731253459891
Mexico,Charlotte,55450,308897,0.17950967474595092
Panama,Charlotte,828,308897,0.0026805051522028377
Argentina,Charlotte,1131,308897,0.0036614146463060503
Bolivia,Charlotte,314,308897,0.0010165200697967284
Brazil,Charlotte,4345,308897,0.014066177398938805
Chile,Charlotte,613,308897,0.001984480263647753
Colombia,Charlotte,9955,308897,0.03222757100263195
Ecuador,Charlotte,5414,308897,0.017526877891335946
Peru,Charlotte,2963,308897,0.009592194161807982
Uruguay,Charlotte,393,308897,0.001272268749777434
Venezuela,Charlotte,5627,308897,0.018216428129764938
Canada,Charlotte,5772,308897,0.01868584026390674
Belgium,Chicago,744,1710628,4.349279913575599e-4
France,Chicago,5682,1710628,0.0033215871598033003
Germany,Chicago,15693,1710628,0.00917382388222337
Netherlands,Chicago,1427,1710628,8.341965640688683e-4
Portugal,Chicago,527,1710628,3.080739938782716e-4
Spain,Chicago,3064,1710628,0.001791155061182209
Japan,Chicago,8965,1710628,0.005240765379731888
South Korea,Chicago,34059,1710628,0.019910231797912813
India,Chicago,148341,1710628,0.08671727576071478
Iran,Chicago,6405,1710628,0.003744238957856413
Philippines,Chicago,86314,1710628,0.0504574928038124
Cameroon,Chicago,1687,1710628,9.861875287905963e-4
Morocco,Chicago,3534,1710628,0.0020659079589484095
South Africa,Chicago,2809,1710628,0.0016420869996282067
Cape Verde,Chicago,5,1710628,2.9229031677255372e-6
Ghana,Chicago,7634,1710628,0.00446268855648335
Côte d'Ivoire,Chicago,841,1710628,4.916323128114354e-4
Nigeria,Chicago,20914,1710628,0.012225919369962377
Senegal,Chicago,717,1710628,4.1914431425184203e-4
Australia,Chicago,2789,1710628,0.0016303953869573045
Haiti,Chicago,3691,1710628,0.0021576871184149915
Costa Rica,Chicago,1135,1710628,6.63499019073697e-4
Guatemala,Chicago,22401,1710628,0.013095190772043951
Honduras,Chicago,13365,1710628,0.00781292016733036
Mexico,Chicago,610465,1710628,0.356866016457114
Panama,Chicago,1864,1710628,0.0010896583009280803
Argentina,Chicago,4079,1710628,0.0023845044042304932
Bolivia,Chicago,1561,1710628,9.125303689639126e-4
Brazil,Chicago,7446,1710628,0.00435278739737687
Chile,Chicago,2850,1710628,0.001666054805603556
Colombia,Chicago,17827,1710628,0.01042131895420863
Ecuador,Chicago,17913,1710628,0.01047159288869351
Peru,Chicago,8618,1710628,0.005037915899891735
Uruguay,Chicago,487,1710628,2.846907685364673e-4
Venezuela,Chicago,13814,1710628,0.008075396871792115
Canada,Chicago,15698,1710628,0.009176746785391095
Belgium,Denver,458,360307,0.001271138223792488
