Country,venue_city,diaspora_pop,total_foreign_born,diaspora_conc
Belgium,Atlanta,676,916033,7.379646803117355e-4
France,Atlanta,2791,916033,0.0030468334656065885
Germany,Atlanta,9609,916033,0.010489796764963708
Netherlands,Atlanta,1688,916033,0.001842728373322795
Portugal,Atlanta,644,916033,7.03031441007038e-4
Spain,Atlanta,2089,916033,0.002280485528359786
Japan,Atlanta,5942,916033,0.006486665873391024
South Korea,Atlanta,35298,916033,0.03853354628053793
India,Atlanta,95560,916033,0.10431938587365303
Iran,Atlanta,6308,916033,0.0068862147979385025
Philippines,Atlanta,12168,916033,0.013283364245611239
Cameroon,Atlanta,3355,916033,0.0036625318083518825
Morocco,Atlanta,1564,916033,0.0017073620710170922
South Africa,Atlanta,5688,916033,0.0062093832864099875
Cape Verde,Atlanta,103,916033,1.124413640119952e-4
Ghana,Atlanta,9547,916033,0.010422113613810857
Côte d'Ivoire,Atlanta,1268,916033,0.00138422960744864
Nigeria,Atlanta,28715,916033,0.03134712395732468
Senegal,Atlanta,1156,916033,0.0012619632698821985
Australia,Atlanta,1502,916033,0.0016396789198642406
Haiti,Atlanta,16225,916033,0.017712243991209922
Costa Rica,Atlanta,3008,916033,0.0032837244946415686
Guatemala,Atlanta,28133,916033,0.030711775667470496
Honduras,Atlanta,21323,916033,0.023277545677939552
Mexico,Atlanta,140727,916033,0.15362656148850531
Panama,Atlanta,3327,916033,0.0036319652239602722
Argentina,Atlanta,2784,916033,0.003039191819508686
Bolivia,Atlanta,1043,916033,0.0011386052685874854
Brazil,Atlanta,17895,916033,0.019535322417423825
Chile,Atlanta,1631,916033,0.0017805035408113025
Colombia,Atlanta,22802,916033,0.02489211633205354
Ecuador,Atlanta,3699,916033,0.004038064130877381
Peru,Atlanta,7188,916033,0.007846878878817685
Uruguay,Atlanta,2844,916033,0.0031046916432049937
Venezuela,Atlanta,20093,916033,0.021934799292165238
Canada,Atlanta,13351,916033,0.014574802436156775
Belgium,Boston,971,966395,0.001004765132269931
France,Boston,6027,966395,0.006236580280320159
Germany,Boston,9917,966395,0.01026184945079393
Netherlands,Boston,1777,966395,0.001838792626203571
Portugal,Boston,13843,966395,0.014324370469631982
Spain,Boston,4089,966395,0.0042311891100429945
Japan,Boston,6155,966395,0.006369031296726494
South Korea,Boston,15695,966395,0.01624077111326114
India,Boston,67781,966395,0.0701379870549827
Iran,Boston,6203,966395,0.00641870042787887
Philippines,Boston,9326,966395,0.009650298273480306
Cameroon,Boston,1915,966395,0.0019815913782666506
Morocco,Boston,8297,966395,0.008585516274401255
South Africa,Boston,2662,966395,0.0027545672318254957
Cape Verde,Boston,24849,966395,0.025713088333445433
Ghana,Boston,3743,966395,0.003873157456319621
Côte d'Ivoire,Boston,645,966395,6.674289498600469e-4
Nigeria,Boston,7481,966395,0.007741141044810869
Senegal,Boston,392,966395,4.056312377444006e-4
Australia,Boston,2241,966395,0.002318927560676535
Haiti,Boston,53462,966395,0.05532106436808965
Costa Rica,Boston,1945,966395,0.0020126345852368856
Guatemala,Boston,26672,966395,0.027599480543670032
Honduras,Boston,10834,966395,0.011210736810517439
Mexico,Boston,9507,966395,0.00983759228886739
Panama,Boston,937,966395,9.695828310369983e-4
Argentina,Boston,2666,966395,0.002758706326088194
Bolivia,Boston,1182,966395,0.0012231023546272488
Brazil,Boston,73302,966395,0.07585097191107155
Chile,Boston,3133,966395,0.0032419455812581813
Colombia,Boston,23647,966395,0.024469290507504696
Ecuador,Boston,6613,966395,0.0068429575898054104
Peru,Boston,6620,966395,0.006850201004765132
Uruguay,Boston,375,966395,3.8804008712793424e-4
Venezuela,Boston,4482,966395,0.00463785512135307
Canada,Boston,20517,966395,0.021230449246943537
Belgium,Dallas,512,1484398,3.449209713297916e-4
France,Dallas,3502,1484398,0.0023592055499940044
Germany,Dallas,8337,1484398,0.0056164182382352984
Netherlands,Dallas,1214,1484398,8.178399593639981e-4
Portugal,Dallas,749,1484398,5.04581655324246e-4
Spain,Dallas,2935,1484398,0.001977232521197145
Japan,Dallas,6625,1484398,0.004463088740351308
South Korea,Dallas,26148,1484398,0.017615221793615996
India,Dallas,162686,1484398,0.10959729129249703
Iran,Dallas,13009,1484398,0.008763822101619646
Philippines,Dallas,29124,1484398,0.019620074939470412
Cameroon,Dallas,6249,1484398,0.004209787402030991
Morocco,Dallas,1527,1484398,0.0010286998500402182
South Africa,Dallas,4603,1484398,0.003100920373107482
Cape Verde,Dallas,61,1484398,4.1094100099838456e-5
Ghana,Dallas,8036,1484398,0.00541364243282462
Côte d'Ivoire,Dallas,2393,1484398,0.0016121013367034987
Nigeria,Dallas,34533,1484398,0.023263976372913463
Senegal,Dallas,377,1484398,2.539750120924442e-4
Australia,Dallas,1691,1484398,0.001139182348669292
Haiti,Dallas,1539,1484398,0.0010367839353057602
Costa Rica,Dallas,1351,1484398,9.101332661456024e-4
Guatemala,Dallas,23748,1484398,0.0159984047405076
Honduras,Dallas,35704,1484398,0.024052848360075936
Mexico,Dallas,577807,1484398,0.38925342125225176
Panama,Dallas,2118,1484398,0.0014268410493681613
Argentina,Dallas,3913,1484398,0.0026360854703388176
Bolivia,Dallas,1303,1484398,8.777969250834345e-4
Brazil,Dallas,10686,1484398,0.007198877928965143
Chile,Dallas,1778,1484398,0.0011977919668444716
Colombia,Dallas,12664,1484398,0.008531404650235315
Ecuador,Dallas,3755,1484398,0.0025296450143425147
Peru,Dallas,7807,1484398,0.0052593711390071934
Uruguay,Dallas,436,1484398,2.9372176464802566e-4
Venezuela,Dallas,19753,1484398,0.013307078020854245
Canada,Dallas,17068,1484398,0.011498263942689225
Belgium,Houston,482,1731737,2.7833325730177274e-4
France,Houston,4529,1731737,0.002615293199833462
Germany,Houston,8615,1731737,0.004974773883101187
Netherlands,Houston,2756,1731737,0.0015914656786798456
Portugal,Houston,643,1731737,0.00037130349469925283
Spain,Houston,3538,1731737,0.002043035403181892
Japan,Houston,4618,1731737,0.0026666866851028765
South Korea,Houston,13793,1731737,0.007964835306977907
India,Houston,95440,1731737,0.05511229476531367
Iran,Houston,11551,1731737,0.006670181442101197
Philippines,Houston,42632,1731737,0.024618056898940196
Cameroon,Houston,6549,1731737,0.00378175207898197
Morocco,Houston,1758,1731737,0.0010151656977936026
South Africa,Houston,5355,1731737,0.0030922709395248818
Cape Verde,Houston,26,1731737,1.5013827157357035e-5
Ghana,Houston,3468,1731737,0.0020026135608351616
Côte d'Ivoire,Houston,1578,1731737,9.112238174734385e-4
Nigeria,Houston,54437,1731737,0.03143491188327096
Senegal,Houston,1512,1731737,8.731117946893783e-4
Australia,Houston,2733,1731737,0.0015781842161944914
Haiti,Houston,2235,1731737,0.0012906116806420374
Costa Rica,Houston,2600,1731737,0.0015013827157357035
Guatemala,Houston,46942,1731737,0.02710688747771746
Honduras,Houston,93423,1731737,0.053947568250837165
Mexico,Houston,580265,1731737,0.3350768621332223
Panama,Houston,2416,1731737,0.0013951310158528691
Argentina,Houston,7098,1731737,0.00409877481395847
Bolivia,Houston,1591,1731737,9.18730731052117e-4
Brazil,Houston,10539,1731737,0.006085797092745608
Chile,Houston,3345,1731737,0.0019315866092830493
Colombia,Houston,37296,1731737,0.021536757602338
Ecuador,Houston,6378,1731737,0.003683007292677814
Peru,Houston,9600,1731737,0.0055435669504087515
Uruguay,Houston,1377,1731737,7.951553844492553e-4
Venezuela,Houston,50781,1731737,0.029323736802990292
Canada,Houston,18233,1731737,0.010528735021541955
Belgium,Kansas City,204,157554,0.0012947941658098176
France,Kansas City,351,157554,0.002227807608819833
Germany,Kansas City,2673,157554,0.016965611790243345
Netherlands,Kansas City,156,157554,9.90136715031037e-4
Portugal,Kansas City,111,157554,7.045203549259302e-4
Spain,Kansas City,540,157554,0.003427396321261282
Japan,Kansas City,1043,157554,0.006619952524213921
South Korea,Kansas City,2715,157554,0.01723218705967478
India,Kansas City,11305,157554,0.071753176688627393
Iran,Kansas City,1294,157554,0.008213057110577961
Philippines,Kansas City,4244,157554,0.026936796273023852
Cameroon,Kansas City,384,157554,0.002437259606230245
Morocco,Kansas City,313,157554,0.001986620460286632
South Africa,Kansas City,469,157554,0.002976757175317669
Ghana,Kansas City,493,157554,0.003129085900707059
Nigeria,Kansas City,1714,157554,0.010878809804892291
Senegal,Kansas City,215,157554,0.0013646114982799548
Australia,Kansas City,364,157554,0.0023103190017390862
Haiti,Kansas City,655,157554,0.004157304797085443
Costa Rica,Kansas City,152,157554,9.647485941328052e-4
Guatemala,Kansas City,5205,157554,0.033036292318824025
Honduras,Kansas City,6035,157554,0.0383043274052071
Mexico,Kansas City,44426,157554,0.2819731647562106
Panama,Kansas City,191,157554,0.0012122827728905646
Argentina,Kansas City,281,157554,0.0017835154931007781
Bolivia,Kansas City,230,157554,0.0014598169516483238
Brazil,Kansas City,1356,157554,0.008606572984500552
