Country,venue_city,routing_fraction,years_observed
Anguilla,Miami,0.9044090947788296,3
Antigua and Barbuda,Atlanta,0.03701510771766308,3
Antigua and Barbuda,Miami,0.4481624205405213,3
Antigua and Barbuda,New York,0.46937018985905815,3
Argentina,Atlanta,0.13283586605712105,3
Argentina,Dallas,0.07374347118760168,1
Argentina,Houston,0.14470762809712942,3
Argentina,Miami,0.5104160558125257,3
Argentina,New York,0.18745929297068992,3
Aruba,Atlanta,0.06242330790311062,3
Aruba,Boston,0.11308944999697004,3
Aruba,Dallas,0.008558682204510582,3
Aruba,Houston,0.029028965981604423,3
Aruba,Miami,0.13619897606070597,3
Aruba,New York,0.3454615132914592,3
Aruba,Philadelphia,0.05871006588586457,3
Australia,Dallas,0.09805883085910853,3
Australia,Los Angeles,0.5252059094313329,3
Australia,San Francisco,0.20812395346422347,3
Austria,Boston,0.055738006813787176,1
Austria,Los Angeles,0.17099021109864135,2
Austria,New York,0.43304317365453926,3
Barbados,Atlanta,0.13991384154336017,1
Barbados,Boston,0.03163079229700727,3
Barbados,Miami,0.4170900467837497,3
Barbados,New York,0.35858153819641475,3
Barbados,Philadelphia,0.018467877879752764,1
Belgium,Atlanta,0.03170659248656386,1
Belgium,New York,0.4706011626435776,3
Belize,Atlanta,0.12097526185245887,3
Belize,Dallas,0.14918214999383023,3
Belize,Houston,0.3837639181577191,3
Belize,Los Angeles,0.0717257355030268,3
Belize,Miami,0.17056715476381143,3
Belize,New York,0.03296921705775036,3
Belize,San Francisco,0.010608074647483515,1
Bermuda,Atlanta,0.04931630986348415,3
Bermuda,Boston,0.13247919884973258,3
Bermuda,Miami,0.1007182685960551,2
Bermuda,New York,0.462079212600888,3
Bermuda,Philadelphia,0.10151801068857912,3
"Bonaire, Sint Eustatius, and Saba",Atlanta,0.18057973279382333,3
"Bonaire, Sint Eustatius, and Saba",Houston,0.17363071643472844,3
"Bonaire, Sint Eustatius, and Saba",Miami,0.43961649505029043,3
"Bonaire, Sint Eustatius, and Saba",New York,0.19447968196628554,3
Brazil,Atlanta,0.09546236904872073,3
Brazil,Boston,0.023283396980173017,3
Brazil,Dallas,0.04411723567278791,3
Brazil,Houston,0.07370356756930861,3
Brazil,Los Angeles,0.02270063817673375,2
Brazil,Miami,0.3701825816307587,3
Brazil,New York,0.17417066320277955,3
Brazil,Philadelphia,0.0015619586080968854,1
British Virgin Islands,Miami,0.4733884148706549,3
Canada,Atlanta,0.04575432969970863,3
Canada,Boston,0.02882299896679601,3
Canada,Dallas,0.03638493442531462,3
Canada,Houston,0.03593127241197703,3
Canada,Kansas City,6.36610914983506e-4,1
Canada,Los Angeles,0.08119338560057342,3
Canada,Miami,0.04618988303606912,3
Canada,New York,0.13855258220074734,3
Canada,Philadelphia,0.015504903759511622,3
Canada,San Francisco,0.07220636403448333,3
Canada,Seattle,0.046218963188285736,3
Cayman Islands,Atlanta,0.10325823091262266,3
Cayman Islands,Dallas,0.10639929228476365,3
Cayman Islands,Houston,0.1167999136808631,3
Cayman Islands,Los Angeles,0.012841501861125763,3
Cayman Islands,Miami,0.2667368526618267,3
Cayman Islands,New York,0.08984949152541623,3
Cayman Islands,Philadelphia,0.013351599782343212,3
Chile,Atlanta,0.186393982532232,3
Chile,Dallas,0.05667667527872821,1
Chile,Houston,0.11339990224146358,1
Chile,Los Angeles,0.1302556653647166,3
Chile,Miami,0.4473444093567129,3
Chile,New York,0.15800035626074801,3
China,Dallas,0.07638807763937441,3
China,Los Angeles,0.3531363021491497,3
China,New York,0.14508716024019824,3
China,San Francisco,0.24977995689153995,3
China,Seattle,0.07651991571847043,3
Colombia,Atlanta,0.03985527428187749,3
Colombia,Boston,0.012204612902509066,3
Colombia,Dallas,0.018901751204261505,3
Colombia,Houston,0.04555500813805318,3
Colombia,Los Angeles,0.02559291569856648,1
Colombia,Miami,0.5318001722584802,3
Colombia,New York,0.16943570789860546,3
Colombia,Philadelphia,5.560596991871488e-4,1
Costa Rica,Atlanta,0.08783195487653521,3
Costa Rica,Boston,8.465449713621337e-4,1
Costa Rica,Dallas,0.07994251263050915,3
Costa Rica,Houston,0.21185273112193018,3
Costa Rica,Los Angeles,0.08576423831370315,3
Costa Rica,Miami,0.21919546519685665,3
Costa Rica,New York,0.10602710145456191,3
Costa Rica,San Francisco,0.013056084543979602,3
Croatia,New York,0.9796159796159796,3
Cuba,Houston,0.039300200144082156,3
Cuba,Miami,0.8507865358519309,3
Cuba,New York,0.0258412587615973,1
Curacao,Atlanta,0.07066933326944522,2
Curacao,Miami,0.6378945446380034,3
Curacao,New York,0.24614271919410038,3
Curacao,Philadelphia,0.006824644549763033,1
Czech Republic,New York,1,3
Denmark,Atlanta,0.06053112566241663,2
Denmark,Boston,0.09695063313639966,3
Denmark,Los Angeles,0.11922085328702987,3
Denmark,New York,0.30783082990612765,3
Denmark,Philadelphia,0.08631667928422115,2
Denmark,San Francisco,0.11547601748978438,3
Denmark,Seattle,0.06779582078430155,1
Dominica,Miami,0.7500921715229418,3
Dominica,New York,0.15799343647444913,1
Dominican Republic,Atlanta,0.055592200652856846,3
Dominican Republic,Boston,0.05028691041595268,3
Dominican Republic,Dallas,0.01749114233519336,3
Dominican Republic,Houston,0.014126392596101024,3
Dominican Republic,Miami,0.19847151449457479,3
Dominican Republic,New York,0.36506756350558234,3
Dominican Republic,Philadelphia,0.029640212504669965,3
Ecuador,Atlanta,0.1189995660430136,3
Ecuador,Houston,0.09990804434450308,3
Ecuador,Miami,0.5360626746383939,3
Ecuador,New York,0.23615940565292518,3
Egypt,New York,0.7507394594846133,3
El Salvador,Atlanta,0.037594803545167484,3
El Salvador,Boston,0.016586943032455777,3
El Salvador,Dallas,0.06562242931403171,3
El Salvador,Houston,0.17625436046565157,3
El Salvador,Los Angeles,0.19149781834526527,3
El Salvador,Miami,0.09707648531035196,3
El Salvador,New York,0.10782811288933469,3
El Salvador,San Francisco,0.08871151787679821,3
Ethiopia,Atlanta,0.11490956760643863,3
Ethiopia,New York,0.2151674679900978,3
Fiji,Dallas,0.21669672764751352,1
Fiji,Los Angeles,0.6144345123337308,3
Fiji,San Francisco,0.2656228591788232,3
Finland,Dallas,0.25745921080368556,3
Finland,Los Angeles,0.14055473596157333,3
Finland,New York,0.2525565413687326,3
Finland,Seattle,0.12765456169417785,3
France,Atlanta,0.1020146359968289,3
France,Boston,0.05270468028316497,3
France,Dallas,0.04091949985466442,3
France,Houston,0.016313882815940164,3
France,Los Angeles,0.11322208613720242,3
France,Miami,0.03785481670168805,3
France,New York,0.2688877999001343,3
France,Philadelphia,0.023924701463180587,3
France,San Francisco,0.059194255547067115,3
France,Seattle,0.03157251740331773,3
French Polynesia,Los Angeles,0.623318860992828,3
French Polynesia,San Francisco,0.2998568541216452,3
French Polynesia,Seattle,0.053893632641502154,2
Germany,Atlanta,0.043102545183268094,3
Germany,Boston,0.0509606980180547,3
Germany,Dallas,0.022591099646940335,3
Germany,Houston,0.04431201707707713,3
Germany,Los Angeles,0.06036059583015352,3
Germany,Miami,0.022156526402402135,3
Germany,New York,0.1759784478913673,3
Germany,Philadelphia,0.010126029843830688,3
Germany,San Francisco,0.09085550639950961,3
Germany,Seattle,0.030563370643566377,3
Ghana,New York,0.6359850517271565,3
Greece,Atlanta,0.12222158179768865,3
Greece,Boston,0.07074401434216983,3
Greece,Los Angeles,0.04385672790512664,1
Greece,New York,0.48456824127875175,3
Greece,Philadelphia,0.07591477709217712,3
Greenland,New York,1,1
Grenada,Boston,0.061109546606589696,1
Grenada,Miami,0.49115834770023115,3
Grenada,New York,0.42445704597267125,3
Guadeloupe,Miami,1,3
Guatemala,Atlanta,0.06841265398928112,3
Guatemala,Dallas,0.08378306360842676,3
Guatemala,Houston,0.1621049732740174,3
Guatemala,Los Angeles,0.192497927696187,3
Guatemala,Miami,0.2593855555186835,3
Guatemala,New York,0.11061538724773097,3
Guyana,Houston,0.04825541562234088,2
Guyana,Miami,0.29318570042490777,3
Guyana,New York,0.6723552620456299,3
Haiti,Miami,0.9223351890432097,2
Haiti,New York,0.07456266719890886,2
Honduras,Atlanta,0.07410200767492854,3
Honduras,Dallas,0.024394456872462923,3
Honduras,Houston,0.30369976731291537,3
Honduras,Miami,0.47221511139877115,3
Honduras,New York,0.03899788556604669,3
Hong Kong,Boston,0.07233369001232531,3
Hong Kong,Dallas,0.04661874520203783,1
Hong Kong,Los Angeles,0.26060127457614074,3
Hong Kong,New York,0.2756654995374229,3
Hong Kong,San Francisco,0.31499790439007574,3
Hungary,New York,1,1
Iceland,Boston,0.15055284926511628,3
Iceland,New York,0.16569033174729572,3
Iceland,Seattle,0.098803759310931,3
India,Boston,0.007424227783682804,1
India,New York,0.5944229074673635,3
India,San Francisco,0.2741522015099128,3
Ireland,Atlanta,0.04074757530691049,3
Ireland,Boston,0.14412326543938328,3
Ireland,Dallas,0.03527725172395266,3
Ireland,Los Angeles,0.037921964647604084,3
Ireland,New York,0.24259325968959378,3
