country,confederation,host
Japan,AFC,no
Iran,AFC,no
South Korea,AFC,no
Australia,AFC,no
Qatar,AFC,no
Saudi Arabia,AFC,no
Uzbekistan,AFC,no
Jordan,AFC,no
Iraq,AFC,no
Morocco,CAF,no
Tunisia,CAF,no
Egypt,CAF,no
Algeria,CAF,no
Ghana,CAF,no
Cape Verde,CAF,no
Senegal,CAF,no
South Africa,CAF,no
Ivory Coast,CAF,no
DR Congo,CAF,no
Canada,CONCACAF,yes
Mexico,CONCACAF,yes
United States,CONCACAF,yes
Panama,CONCACAF,no
Curacao,CONCACAF,no
Haiti,CONCACAF,no
Argentina,CONMEBOL,no
Brazil,CONMEBOL,no
Ecuador,CONMEBOL,no
Paraguay,CONMEBOL,no
Uruguay,CONMEBOL,no
Colombia,CONMEBOL,no
England,UEFA,no
France,UEFA,no
Croatia,UEFA,no
Portugal,UEFA,no
Norway,UEFA,no
Germany,UEFA,no
Netherlands,UEFA,no
Switzerland,UEFA,no
Scotland,UEFA,no
Spain,UEFA,no
Austria,UEFA,no
Belgium,UEFA,no
Bosnia and Herzegovina,UEFA,no
Sweden,UEFA,no
Turkey,UEFA,no
Czech Republic,UEFA,no
New Zealand,OFC,no
