stadium,city,country,latitude,longitude
MetLife Stadium,East Rutherford,USA,40.8135,-74.0745
SoFi Stadium,Inglewood,USA,33.9535,-118.3392
AT&T Stadium,Arlington,USA,32.7473,-97.0945
Mercedes-Benz Stadium,Atlanta,USA,33.7554,-84.4008
NRG Stadium,Houston,USA,29.6847,-95.4107
Arrowhead Stadium,Kansas City,USA,39.0489,-94.484
Lincoln Financial Field,Philadelphia,USA,39.9008,-75.1675
Hard Rock Stadium,Miami Gardens,USA,25.958,-80.2389
Levi's Stadium,Santa Clara,USA,37.403,-121.97
Lumen Field,Seattle,USA,47.5952,-122.3316
Gillette Stadium,Foxborough,USA,42.0909,-71.2643
BC Place,Vancouver,Canada,49.2768,-123.1116
BMO Field,Toronto,Canada,43.6332,-79.4186
Estadio Azteca,Mexico City,Mexico,19.3029,-99.1505
Estadio BBVA,Monterrey,Mexico,25.6692,-100.2446
Estadio Akron,Guadalajara,Mexico,20.681,-103.462
